Date,GOOGLE_holding
11/11/2018 15:41,31777
11/11/2018 16:41,31777
11/11/2018 17:41,31777
11/11/2018 18:41,31777
11/11/2018 19:41,31777
11/11/2018 20:41,31777
11/11/2018 21:41,31777
11/11/2018 22:41,31777
11/11/2018 23:41,31777
11/12/2018 0:41,31777
11/12/2018 1:41,31777
11/12/2018 2:41,31777
11/12/2018 3:41,31777
11/12/2018 4:41,31777
11/12/2018 5:41,31777
11/12/2018 6:41,31777
11/12/2018 7:41,31777
11/12/2018 8:41,31777
11/12/2018 9:41,31777
11/12/2018 10:41,31777
11/12/2018 11:41,31777
11/12/2018 12:41,31777
11/12/2018 13:41,31777
11/12/2018 14:41,31780
11/12/2018 15:41,31763
11/12/2018 16:41,31780
11/12/2018 17:41,31804
11/12/2018 18:41,31815
11/12/2018 19:41,31816
11/12/2018 20:41,31823
11/12/2018 21:41,31835
11/12/2018 22:41,31857
11/12/2018 23:41,31866
11/13/2018 0:41,31866
11/13/2018 1:41,31866
11/13/2018 2:41,31866
11/13/2018 3:41,31866
11/13/2018 4:41,31866
11/13/2018 5:41,31866
11/13/2018 6:41,31865
11/13/2018 7:41,31865
11/13/2018 8:41,31865
11/13/2018 9:41,31865
11/13/2018 10:41,31865
11/13/2018 11:41,31865
11/13/2018 12:41,31865
11/13/2018 13:41,31865
11/13/2018 14:41,31864
11/13/2018 15:41,31857
11/13/2018 16:41,31869
11/13/2018 17:41,31860
11/13/2018 18:41,31864
11/13/2018 19:41,31861
11/13/2018 20:41,31870
11/13/2018 21:41,31874
11/13/2018 22:41,31871
11/13/2018 23:41,31874
11/14/2018 0:41,31874
11/14/2018 1:41,31874
11/14/2018 2:41,31874
11/14/2018 3:41,31874
11/14/2018 4:41,31874
11/14/2018 5:41,31874
11/14/2018 6:41,31875
11/14/2018 7:41,31875
11/14/2018 8:41,31875
11/14/2018 9:41,31875
11/14/2018 10:41,31875
11/14/2018 11:41,31875
11/14/2018 12:41,31875
11/14/2018 13:41,31875
11/14/2018 14:41,31874
11/14/2018 15:41,31878
11/14/2018 16:41,31868
11/14/2018 17:41,31875
11/14/2018 18:41,31873
11/14/2018 19:41,31869
11/14/2018 20:41,31857
11/14/2018 21:41,31839
11/14/2018 22:41,31838
11/14/2018 23:41,31840
11/15/2018 0:41,31840
11/15/2018 1:41,31840
11/15/2018 2:41,31840
11/15/2018 3:41,31840
11/15/2018 4:41,31840
11/15/2018 5:41,31840
11/15/2018 6:41,31839
11/15/2018 7:41,31839
11/15/2018 8:41,31839
11/15/2018 9:41,31839
11/15/2018 10:41,31839
11/15/2018 11:41,31839
11/15/2018 12:41,31839
11/15/2018 13:41,31839
11/15/2018 14:41,31840
11/15/2018 15:41,31807
11/15/2018 16:41,31793
11/15/2018 17:41,31781
11/15/2018 18:41,31781
11/15/2018 19:41,31762
11/15/2018 20:41,31758
11/15/2018 21:41,31760
11/15/2018 22:41,31737
11/15/2018 23:41,31727
11/16/2018 0:41,31727
11/16/2018 1:41,31727
11/16/2018 2:41,31727
11/16/2018 3:41,31727
11/16/2018 4:41,31727
11/16/2018 5:41,31727
11/16/2018 6:41,31727
11/16/2018 7:41,31727
11/16/2018 8:41,31727
11/16/2018 9:41,31727
11/16/2018 10:41,31727
11/16/2018 11:41,31727
