timestamp,users_holding
"2018-05-15 04:44:01",32455
"2018-05-15 05:44:00",32455
"2018-05-15 06:43:59",32455
"2018-05-15 07:44:00",32455
"2018-05-15 08:44:00",32455
"2018-05-15 09:44:00",32455
"2018-05-15 10:44:01",32456
"2018-05-15 11:44:00",32456
"2018-05-15 12:44:00",32456
"2018-05-15 13:44:01",32456
"2018-05-15 14:44:00",32414
"2018-05-15 15:44:00",32403
"2018-05-15 16:44:00",32383
"2018-05-15 17:43:59",32378
"2018-05-15 18:44:04",32394
"2018-05-15 19:43:59",32400
"2018-05-15 20:43:58",32419
"2018-05-15 21:43:58",32423
"2018-05-15 22:44:00",32422
"2018-05-15 23:43:59",32422
"2018-05-16 00:43:59",32422
"2018-05-16 01:43:59",32422
"2018-05-16 02:43:59",32422
"2018-05-16 03:44:00",32422
"2018-05-16 04:44:00",32422
"2018-05-16 05:43:59",32422
"2018-05-16 06:43:59",32422
"2018-05-16 07:44:00",32422
"2018-05-16 08:44:01",32422
"2018-05-16 09:43:58",32422
"2018-05-16 10:43:59",32423
"2018-05-16 11:44:00",32423
"2018-05-16 12:44:01",32423
"2018-05-16 13:44:00",32423
"2018-05-16 14:43:59",32437
"2018-05-16 15:44:00",32468
"2018-05-16 16:43:59",32492
"2018-05-16 17:44:00",32548
"2018-05-16 18:43:59",32585
"2018-05-16 19:44:00",32590
"2018-05-16 20:44:00",32728
"2018-05-16 21:43:59",32745
"2018-05-16 22:44:00",32760
"2018-05-16 23:44:00",32757
"2018-05-17 00:44:02",32757
"2018-05-17 01:44:00",32757
"2018-05-17 02:44:00",32757
"2018-05-17 03:44:00",32757
"2018-05-17 04:44:01",32757
"2018-05-17 05:44:01",32757
"2018-05-17 06:44:02",32757
"2018-05-17 07:44:01",32757
"2018-05-17 08:44:04",32757
"2018-05-17 09:44:00",32757
"2018-05-17 10:43:58",32756
"2018-05-17 11:44:00",32756
"2018-05-17 12:43:59",32756
"2018-05-17 13:44:01",32754
"2018-05-17 14:44:00",32793
"2018-05-17 15:44:01",33021
"2018-05-18 07:44:01",33236
"2018-05-18 08:44:01",33236
"2018-05-18 09:43:59",33236
"2018-05-18 10:43:59",33239
"2018-05-18 11:43:59",33239
"2018-05-18 12:44:00",33239
"2018-05-18 13:44:02",33239
