Date,Amazon_holding
12/16/2019 17:51,118822
12/16/2019 18:51,118822
12/16/2019 19:51,118769
12/16/2019 20:51,118735
12/16/2019 21:51,118671
12/16/2019 22:51,118642
12/16/2019 23:50,118632
12/17/2019 0:50,118632
12/17/2019 1:51,118632
12/17/2019 2:51,118632
12/17/2019 3:51,118632
12/17/2019 5:51,118617
12/17/2019 6:51,118617
12/17/2019 7:50,118617
12/17/2019 8:51,118617
12/17/2019 9:50,118617
12/17/2019 10:50,118617
12/17/2019 11:50,118617
12/17/2019 12:50,118617
12/17/2019 14:11,118607
12/17/2019 14:52,118607
12/17/2019 15:51,118403
12/17/2019 16:51,118278
12/17/2019 17:51,118225
12/17/2019 18:51,118187
12/17/2019 19:51,118122
12/17/2019 20:51,118060
12/17/2019 21:50,117959
12/17/2019 22:51,117942
12/17/2019 23:51,117926
12/18/2019 1:51,117926
12/18/2019 2:51,117926
12/18/2019 3:51,117926
12/18/2019 4:50,117926
12/18/2019 5:50,117926
12/18/2019 6:50,117926
12/18/2019 7:50,117926
12/18/2019 8:50,117926
12/18/2019 9:50,117915
12/18/2019 10:50,117915
12/18/2019 11:50,117915
12/18/2019 12:50,117915
12/18/2019 14:10,117905
12/18/2019 14:52,117905
12/18/2019 15:51,117849
12/18/2019 16:51,117828
12/18/2019 17:51,117783
12/18/2019 18:51,117737
12/18/2019 19:51,117720
12/18/2019 20:51,117685
12/18/2019 21:50,117631
12/18/2019 22:51,117648
12/18/2019 23:50,117653
12/19/2019 0:51,117653
12/19/2019 1:50,117653
12/19/2019 2:51,117653
12/19/2019 3:50,117653
12/19/2019 4:50,117653
12/19/2019 5:50,117653
12/19/2019 6:51,117635
12/19/2019 7:50,117635
12/19/2019 8:50,117635
12/19/2019 9:50,117635
12/19/2019 10:50,117635
12/19/2019 11:50,117635
12/19/2019 12:50,117635
12/19/2019 14:11,117632
12/19/2019 14:51,117632
12/19/2019 15:52,117600
12/19/2019 16:51,117629
12/19/2019 17:51,117581
12/19/2019 18:51,117560
12/19/2019 19:51,117548
12/19/2019 21:11,117463
12/19/2019 21:51,117463
12/19/2019 22:51,117448
12/19/2019 23:51,117442
12/20/2019 0:51,117442
12/20/2019 1:51,117442
12/20/2019 2:51,117442
12/20/2019 3:51,117442
12/20/2019 4:51,117442
12/20/2019 5:51,117425
12/20/2019 6:51,117425
12/20/2019 7:51,117425
12/20/2019 8:51,117425
12/20/2019 9:51,117425
12/20/2019 10:50,117425
12/20/2019 11:50,117425
12/20/2019 12:51,117425
12/20/2019 14:10,117423
12/20/2019 14:52,117423
12/20/2019 15:52,117258
12/20/2019 16:52,117256
12/20/2019 17:52,117219
12/20/2019 18:51,117177
12/20/2019 19:52,117149
12/20/2019 20:52,117104
12/20/2019 21:51,117126
12/20/2019 22:51,117144
12/20/2019 23:51,117155
12/21/2019 0:51,117155
12/21/2019 1:51,117155
12/21/2019 2:51,117155
12/21/2019 3:51,117155
12/21/2019 4:51,117155
12/21/2019 5:50,117155
12/21/2019 6:51,117155
12/21/2019 7:51,117155
12/21/2019 8:50,117155
12/21/2019 9:50,117155
12/21/2019 10:50,117155
12/21/2019 11:50,117155
12/21/2019 12:50,117155
12/21/2019 13:50,117147
12/21/2019 14:50,117147
12/21/2019 15:50,117147
12/21/2019 16:51,117147
12/21/2019 17:50,117147
12/21/2019 18:50,117147
12/21/2019 19:50,117147
12/21/2019 20:50,117147
12/21/2019 22:51,117147
12/21/2019 23:50,117147
12/22/2019 0:50,117147
12/22/2019 1:50,117147
12/22/2019 2:50,117147
12/22/2019 4:51,117147
12/22/2019 5:50,117147
12/22/2019 6:50,117147
12/22/2019 7:50,117147
12/22/2019 8:50,117147
12/22/2019 9:50,117147
12/22/2019 10:50,117147
12/22/2019 11:50,117147
12/22/2019 12:50,117147
12/22/2019 13:50,117147
12/22/2019 14:50,117147
12/22/2019 15:51,117147
12/22/2019 16:50,117147
12/22/2019 17:50,117147
12/22/2019 18:50,117147
12/22/2019 19:51,117147
12/22/2019 20:51,117147
12/22/2019 22:50,117147
12/22/2019 23:51,117147
12/23/2019 0:51,117147
12/23/2019 1:51,117147
12/23/2019 2:51,117147
12/23/2019 3:51,117147
12/23/2019 4:51,117147
12/23/2019 5:51,117147
12/23/2019 6:51,117147
12/23/2019 7:50,117146
12/23/2019 8:50,117146
12/23/2019 9:50,117146
12/23/2019 10:50,117146
12/23/2019 11:50,117146
12/23/2019 12:50,117146
12/23/2019 14:11,117147
12/23/2019 14:52,117147
12/23/2019 15:51,117199
12/23/2019 16:51,117203
12/23/2019 17:51,117162
12/23/2019 18:51,117146
12/23/2019 19:51,117134
12/23/2019 20:51,117090
12/23/2019 21:51,117041
12/23/2019 22:51,117017
12/23/2019 23:51,117008
12/24/2019 0:50,117008
12/24/2019 1:51,117008
12/24/2019 2:51,117008
12/24/2019 3:51,117008
12/24/2019 4:51,117008
12/24/2019 5:51,116995
12/24/2019 6:51,116995
12/24/2019 7:50,116995
12/24/2019 8:50,116995
12/24/2019 9:50,116995
12/24/2019 10:50,116995
