,,,,,,,,,,,,,,,,,
Date,Google,Date,FB,Date,Apple,Date,Amazon,Date,Costco,Date,Walmart,Date,American_airline,Date,McDonald,Date,Wells_Fargo
3/11/2010 16:00,4235226,7/25/2012 16:00,17230154,3/11/2010 16:00,14489234,3/11/2010 16:00,7244668,3/11/2010 16:00,3957193,3/11/2010 16:00,10675420,3/11/2010 16:00,12039998,3/11/2010 16:00,4350525,3/11/2010 16:00,32144218
3/12/2010 16:00,2756215,7/26/2012 16:00,64597376,3/12/2010 16:00,14868660,3/12/2010 16:00,6151927,3/12/2010 16:00,3938659,3/12/2010 16:00,10481281,3/12/2010 16:00,10868280,3/12/2010 16:00,6601633,3/12/2010 16:00,36677052
3/15/2010 16:00,4656570,7/27/2012 16:00,123098336,3/15/2010 16:00,17625012,3/15/2010 16:00,6329310,3/15/2010 16:00,2584674,3/15/2010 16:00,24374792,3/15/2010 16:00,9766849,3/15/2010 16:00,5715101,3/15/2010 16:00,27354764
3/16/2010 16:00,3432853,7/30/2012 16:00,29285896,3/16/2010 16:00,15960948,3/16/2010 16:00,4136434,3/16/2010 16:00,2480575,3/16/2010 16:00,18458500,3/16/2010 16:00,13481550,3/16/2010 16:00,5705583,3/16/2010 16:00,40201368
3/17/2010 16:00,3322497,7/31/2012 16:00,56179320,3/17/2010 16:00,16105571,3/17/2010 16:00,4358962,3/17/2010 16:00,3115250,3/17/2010 16:00,12495115,3/17/2010 16:00,12387053,3/17/2010 16:00,4818776,3/17/2010 16:00,33178370
3/18/2010 16:00,1777117,8/1/2012 16:00,44604364,3/18/2010 16:00,12218159,3/18/2010 16:00,5024120,3/18/2010 16:00,3156208,3/18/2010 16:00,9472592,3/18/2010 16:00,7281703,3/18/2010 16:00,6208665,3/18/2010 16:00,33984868
3/19/2010 16:00,4794128,8/2/2012 16:00,56374436,3/19/2010 16:00,19980164,3/19/2010 16:00,8906225,3/19/2010 16:00,4687497,3/19/2010 16:00,17184076,3/19/2010 16:00,13467688,3/19/2010 16:00,10230084,3/19/2010 16:00,53781712
3/22/2010 16:00,4005472,8/3/2012 16:00,80646976,3/22/2010 16:00,16300662,3/22/2010 16:00,5383302,3/22/2010 16:00,2372527,3/22/2010 16:00,9874095,3/22/2010 16:00,9460562,3/22/2010 16:00,7386441,3/22/2010 16:00,28593940
3/23/2010 16:00,5501283,8/6/2012 16:00,27778038,3/23/2010 16:00,21515312,3/23/2010 16:00,4213607,3/23/2010 16:00,2937709,3/23/2010 16:00,9369255,3/23/2010 16:00,19432468,3/23/2010 16:00,8057691,3/23/2010 16:00,39320144
3/24/2010 16:00,6569358,8/7/2012 16:00,36782828,3/24/2010 16:00,21367176,3/24/2010 16:00,4703238,3/24/2010 16:00,2909940,3/24/2010 16:00,8698851,3/24/2010 16:00,15488701,3/24/2010 16:00,6363689,3/24/2010 16:00,36185472
3/25/2010 16:00,3931664,8/8/2012 16:00,29537376,3/25/2010 16:00,19402382,3/25/2010 16:00,16212627,3/25/2010 16:00,2591464,3/25/2010 16:00,9793123,3/25/2010 16:00,14084152,3/25/2010 16:00,5705548,3/25/2010 16:00,47424296
3/26/2010 16:00,2696461,8/9/2012 16:00,15618515,3/26/2010 16:00,22888304,3/26/2010 16:00,6575480,3/26/2010 16:00,2301952,3/26/2010 16:00,9947257,3/26/2010 16:00,12245817,3/26/2010 16:00,5984018,3/26/2010 16:00,36079696
3/29/2010 16:00,3105180,8/10/2012 16:00,25794672,3/29/2010 16:00,19312256,3/29/2010 16:00,4627668,3/29/2010 16:00,2375459,3/29/2010 16:00,9776427,3/29/2010 16:00,6260613,3/29/2010 16:00,6522554,3/29/2010 16:00,25280628
3/30/2010 16:00,1987571,8/13/2012 16:00,24972972,3/30/2010 16:00,18832476,3/30/2010 16:00,6202284,3/30/2010 16:00,2121441,3/30/2010 16:00,6941570,3/30/2010 16:00,10982127,3/30/2010 16:00,5093740,3/30/2010 16:00,26942210
3/31/2010 16:00,3030869,8/14/2012 16:00,39308632,3/31/2010 16:00,15380651,3/31/2010 16:00,4602196,3/31/2010 16:00,2548113,3/31/2010 16:00,9966853,3/31/2010 16:00,10801764,3/31/2010 16:00,5765742,3/31/2010 16:00,28392692
4/1/2010 16:00,2102636,8/15/2012 16:00,47860768,4/1/2010 16:00,21540856,4/1/2010 16:00,8787628,4/1/2010 16:00,2638221,4/1/2010 16:00,11788075,4/1/2010 16:00,9297021,4/1/2010 16:00,5475663,4/1/2010 16:00,33041358
4/5/2010 16:00,1902063,8/16/2012 16:00,157554944,4/5/2010 16:00,24446616,4/5/2010 16:00,5817409,4/5/2010 16:00,2154045,4/5/2010 16:00,10749664,4/5/2010 16:00,12170347,4/5/2010 16:00,4875549,4/5/2010 16:00,30823818
4/6/2010 16:00,2060014,8/17/2012 16:00,129293344,4/6/2010 16:00,15964884,4/6/2010 16:00,7950439,4/6/2010 16:00,3589094,4/6/2010 16:00,9567168,4/6/2010 16:00,7358114,4/6/2010 16:00,3318547,4/6/2010 16:00,39504856
4/7/2010 16:00,2581016,8/20/2012 16:00,101186528,4/7/2010 16:00,22446432,4/7/2010 16:00,5947297,4/7/2010 16:00,3897140,4/7/2010 16:00,12936271,4/7/2010 16:00,11322330,4/7/2010 16:00,6623698,4/7/2010 16:00,34516272
4/8/2010 16:00,1951735,8/21/2012 16:00,70640464,4/8/2010 16:00,20463804,4/8/2010 16:00,12694329,4/8/2010 16:00,4476289,4/8/2010 16:00,11139666,4/8/2010 16:00,16564666,4/8/2010 16:00,7140985,4/8/2010 16:00,32203536
4/9/2010 16:00,2056835,8/22/2012 16:00,49892128,4/9/2010 16:00,11935092,4/9/2010 16:00,6014526,4/9/2010 16:00,2804841,4/9/2010 16:00,12535319,4/9/2010 16:00,7927762,4/9/2010 16:00,5623117,4/9/2010 16:00,27108650
4/12/2010 16:00,2353551,8/23/2012 16:00,32813310,4/12/2010 16:00,11900548,4/12/2010 16:00,5446461,4/12/2010 16:00,4553493,4/12/2010 16:00,11964081,4/12/2010 16:00,17747432,4/12/2010 16:00,4025214,4/12/2010 16:00,25108360
4/13/2010 16:00,3912262,8/24/2012 16:00,29622156,4/13/2010 16:00,10936075,4/13/2010 16:00,4787008,4/13/2010 16:00,4191513,4/13/2010 16:00,12852642,4/13/2010 16:00,13705229,4/13/2010 16:00,5653909,4/13/2010 16:00,38044796
4/14/2010 16:00,3403800,8/27/2012 16:00,20703908,4/14/2010 16:00,14431222,4/14/2010 16:00,7900274,4/14/2010 16:00,6763034,4/14/2010 16:00,14687995,4/14/2010 16:00,13514269,4/14/2010 16:00,6194204,4/14/2010 16:00,54445856
4/15/2010 16:00,6761708,8/28/2012 16:00,25425786,4/15/2010 16:00,13456560,4/15/2010 16:00,7831717,4/15/2010 16:00,5754515,4/15/2010 16:00,17660248,4/15/2010 16:00,21123532,4/15/2010 16:00,4767127,4/15/2010 16:00,47900528
4/16/2010 16:00,12239411,8/29/2012 16:00,16124625,4/16/2010 16:00,26805138,4/16/2010 16:00,8401062,4/16/2010 16:00,5444285,4/16/2010 16:00,19234120,4/16/2010 16:00,17173342,4/16/2010 16:00,7876494,4/16/2010 16:00,89847640
4/19/2010 16:00,3895772,8/30/2012 16:00,30647472,4/19/2010 16:00,20247212,4/19/2010 16:00,6023117,4/19/2010 16:00,4040801,4/19/2010 16:00,11315660,4/19/2010 16:00,25315472,4/19/2010 16:00,7158221,4/19/2010 16:00,54880664
4/20/2010 16:00,2979333,8/31/2012 16:00,58764168,4/20/2010 16:00,26368712,4/20/2010 16:00,4314512,4/20/2010 16:00,3703269,4/20/2010 16:00,9093104,4/20/2010 16:00,15249768,4/20/2010 16:00,7347061,4/20/2010 16:00,46816092
4/21/2010 16:00,2392748,9/4/2012 16:00,46622352,4/21/2010 16:00,35085400,4/21/2010 16:00,7374343,4/21/2010 16:00,3033108,4/21/2010 16:00,11499212,4/21/2010 16:00,55310616,4/21/2010 16:00,10738134,4/21/2010 16:00,96227120
4/22/2010 16:00,3283651,9/5/2012 16:00,60781720,4/22/2010 16:00,28336544,4/22/2010 16:00,15165734,4/22/2010 16:00,3929615,4/22/2010 16:00,10921391,4/22/2010 16:00,37909780,4/22/2010 16:00,7139661,4/22/2010 16:00,49765376
4/23/2010 16:00,2089882,9/6/2012 16:00,46066348,4/23/2010 16:00,28462622,4/23/2010 16:00,18981078,4/23/2010 16:00,4017382,4/23/2010 16:00,16595907,4/23/2010 16:00,21770210,4/23/2010 16:00,5923672,4/23/2010 16:00,31000720
4/26/2010 16:00,4373614,9/7/2012 16:00,36371696,4/26/2010 16:00,17109572,4/26/2010 16:00,9319997,4/26/2010 16:00,2874503,4/26/2010 16:00,14750913,4/26/2010 16:00,20142168,4/26/2010 16:00,6035959,4/26/2010 16:00,36185916
4/27/2010 16:00,3844727,9/10/2012 16:00,24797642,4/27/2010 16:00,25333632,4/27/2010 16:00,8641245,4/27/2010 16:00,3949014,4/27/2010 16:00,19175176,4/27/2010 16:00,16855844,4/27/2010 16:00,8155348,4/27/2010 16:00,52678708
4/28/2010 16:00,3409197,9/11/2012 16:00,50508128,4/28/2010 16:00,27085710,4/28/2010 16:00,9236364,4/28/2010 16:00,3462400,4/28/2010 16:00,14904711,4/28/2010 16:00,15815722,4/28/2010 16:00,7589371,4/28/2010 16:00,39029084
4/29/2010 16:00,3058815,9/12/2012 16:00,121584000,4/29/2010 16:00,19958536,4/29/2010 16:00,6314873,4/29/2010 16:00,2883748,4/29/2010 16:00,13319908,4/29/2010 16:00,11261146,4/29/2010 16:00,7357314,4/29/2010 16:00,31030260
4/30/2010 16:00,2440207,9/13/2012 16:00,65041524,4/30/2010 16:00,19373668,4/30/2010 16:00,6113453,4/30/2010 16:00,4960665,4/30/2010 16:00,16279335,4/30/2010 16:00,14552172,4/30/2010 16:00,6966532,4/30/2010 16:00,53446052
5/3/2010 16:00,1860317,9/14/2012 16:00,72819640,5/3/2010 16:00,16226433,5/3/2010 16:00,5662833,5/3/2010 16:00,4051383,5/3/2010 16:00,12301065,5/3/2010 16:00,14956625,5/3/2010 16:00,5991714,5/3/2010 16:00,37442224
5/4/2010 16:00,6078530,9/17/2012 16:00,50666448,5/4/2010 16:00,25850690,5/4/2010 16:00,12670239,5/4/2010 16:00,6046307,5/4/2010 16:00,18671072,5/4/2010 16:00,23444334,5/4/2010 16:00,7240877,5/4/2010 16:00,53831008
5/5/2010 16:00,4582120,9/18/2012 16:00,36760448,5/5/2010 16:00,31539398,5/5/2010 16:00,9462155,5/5/2010 16:00,6438737,5/5/2010 16:00,16609823,5/5/2010 16:00,30201968,5/5/2010 16:00,9578086,5/5/2010 16:00,45190252
5/6/2010 16:00,5000043,9/19/2012 16:00,78782784,5/6/2010 16:00,45923556,5/6/2010 16:00,10195596,5/6/2010 16:00,11175881,5/6/2010 16:00,24068402,5/6/2010 16:00,39831412,5/6/2010 16:00,16491275,5/6/2010 16:00,78743072
5/7/2010 16:00,5093752,9/20/2012 16:00,57248664,5/7/2010 16:00,59857756,5/7/2010 16:00,11936041,5/7/2010 16:00,9286653,5/7/2010 16:00,28945092,5/7/2010 16:00,28548204,5/7/2010 16:00,15285567,5/7/2010 16:00,66957940
5/10/2010 16:00,4127928,9/21/2012 16:00,51218096,5/10/2010 16:00,35153744,5/10/2010 16:00,6806846,5/10/2010 16:00,8379256,5/10/2010 16:00,27090588,5/10/2010 16:00,19719620,5/10/2010 16:00,10903286,5/10/2010 16:00,67200128
5/11/2010 16:00,3324317,9/24/2012 16:00,79105120,5/11/2010 16:00,30369688,5/11/2010 16:00,6047677,5/11/2010 16:00,5443175,5/11/2010 16:00,19630110,5/11/2010 16:00,10801014,5/11/2010 16:00,6710060,5/11/2010 16:00,47889264
5/12/2010 16:00,3852157,9/25/2012 16:00,46291656,5/12/2010 16:00,23370624,5/12/2010 16:00,5905373,5/12/2010 16:00,4151915,5/12/2010 16:00,13610883,5/12/2010 16:00,13271679,5/12/2010 16:00,5655556,5/12/2010 16:00,39618348
5/13/2010 16:00,3328146,9/26/2012 16:00,38271880,5/13/2010 16:00,21418218,5/13/2010 16:00,5940987,5/13/2010 16:00,5007754,5/13/2010 16:00,12459468,5/13/2010 16:00,17441210,5/13/2010 16:00,5735400,5/13/2010 16:00,33799448
5/14/2010 16:00,4123922,9/27/2012 16:00,30215820,5/14/2010 16:00,27120052,5/14/2010 16:00,5277824,5/14/2010 16:00,4890494,5/14/2010 16:00,18653216,5/14/2010 16:00,10487905,5/14/2010 16:00,9112269,5/14/2010 16:00,57390596
5/17/2010 16:00,2796534,9/28/2012 16:00,65485920,5/17/2010 16:00,27244036,5/17/2010 16:00,5642751,5/17/2010 16:00,4130191,5/17/2010 16:00,16946492,5/17/2010 16:00,16009422,5/17/2010 16:00,7468112,5/17/2010 16:00,47047780
5/18/2010 16:00,2830286,10/1/2012 16:00,51262680,5/18/2010 16:00,27952708,5/18/2010 16:00,5258767,5/18/2010 16:00,4308787,5/18/2010 16:00,32230580,5/18/2010 16:00,10648949,5/18/2010 16:00,6899486,5/18/2010 16:00,56668008
5/19/2010 16:00,3446369,10/2/2012 16:00,29341392,5/19/2010 16:00,36633056,5/19/2010 16:00,6464521,5/19/2010 16:00,4350250,5/19/2010 16:00,20419292,5/19/2010 16:00,18707798,5/19/2010 16:00,7814365,5/19/2010 16:00,72543880
5/20/2010 16:00,4917963,10/3/2012 16:00,32000080,5/20/2010 16:00,45818392,5/20/2010 16:00,8594302,5/20/2010 16:00,6756966,5/20/2010 16:00,27257148,5/20/2010 16:00,18079398,5/20/2010 16:00,13573163,5/20/2010 16:00,78030264
5/21/2010 16:00,9693537,10/4/2012 16:00,46894596,5/21/2010 16:00,43710964,5/21/2010 16:00,7968396,5/21/2010 16:00,5966020,5/21/2010 16:00,24549360,5/21/2010 16:00,15300788,5/21/2010 16:00,12615218,5/21/2010 16:00,88191680
5/24/2010 16:00,4350322,10/5/2012 16:00,40529224,5/24/2010 16:00,26937336,5/24/2010 16:00,4544265,5/24/2010 16:00,3376789,5/24/2010 16:00,13573852,5/24/2010 16:00,9911604,5/24/2010 16:00,6744442,5/24/2010 16:00,64926944
5/25/2010 16:00,3021908,10/8/2012 16:00,32236628,5/25/2010 16:00,37429052,5/25/2010 16:00,7121633,5/25/2010 16:00,6121301,5/25/2010 16:00,24062656,5/25/2010 16:00,21414948,5/25/2010 16:00,9257929,5/25/2010 16:00,55196136
5/26/2010 16:00,3484042,10/9/2012 16:00,27161736,5/26/2010 16:00,30380592,5/26/2010 16:00,6968764,5/26/2010 16:00,6147386,5/26/2010 16:00,19079044,5/26/2010 16:00,25642550,5/26/2010 16:00,11525891,5/26/2010 16:00,62366760
5/27/2010 16:00,2810047,10/10/2012 16:00,39321760,5/27/2010 16:00,23796476,5/27/2010 16:00,4748544,5/27/2010 16:00,8764497,5/27/2010 16:00,13982529,5/27/2010 16:00,14688176,5/27/2010 16:00,9728101,5/27/2010 16:00,48874756
